business_name,business_url,business_avg_monthly_sales,business_avg_net_revenue,business_sub_start_date,business_sub_end_date,subscription_name,subscription_order_max,subscription_monthly_price,subscription_yearly_price,internal_order_number,order_total,order_subtotal,order_tax,order_shipping_amount_paid,order_shipping_cost,order_product_cost,order_total_refund,order_creation_date,order_fulfilled_date,order_cancellation_date,order_financial_status,order_discount_amount,order_discount_code,order_country,order_state,order_zip,order_address1,order_address2,order_billing_country,order_billing_state,order_billing_zip,order_billing_address1,order_billing_address2,lineitem_title,lineitem_sku,lineitem_gross_revenue,lineitem_net_revenue,lineitem_discount_amount,lineitem_quantity,linetem_tax,lineitem_cost,customer_name,customer_email,customer_phone,customer_first_order_date,customer_last_order_date,customer_avg_ltv,customer_address1,customer_address2,product_title,product_amount,product_cost,product_description,product_sku
Bruce Group,https://www.thomas-thomas.biz/,320360.78834376525,592742.6043421814,2023-04-14 00:00:00,2023-12-05 00:00:00,Premium,240,31,372,562842,197.9203751698846,197.89388448657985,15.588939461805984,3.944050803192105,3.1645804427239814,12.209767352501414,18.93878401296759,2021-12-07 00:00:00,2021-12-08 00:00:00,2021-12-08 00:00:00,Pending,5.966785855842756,gas,DM,Virginia,77188,2685 Peter Union Suite 882,Apt. 143,PH,Pennsylvania,12431,95384 Mccarty Rest,Suite 152,institution,war,277.4872874275927,267.5600149246454,5.847758950938901,4,3.867470427717313,26.629638962307112,Stephen Jenkins,walkerpatrick@example.org,+1-308-326-1131,2021-03-14 00:00:00,2021-04-14 00:00:00,998.8255028881271,06451 Ramirez Path Apt. 247,Suite 142,pretty,211.56982332710643,26.20494683696212,Rise challenge early affect everybody tax beyond never write matter act hand day.,develop
"Mclean, Coleman and Parrish",http://wilkerson-byrd.com/,907036.6270450702,785820.3901111324,2022-05-04 00:00:00,2022-10-04 00:00:00,Premium,240,31,372,622057,66.60638696739319,61.501683622184345,22.81227571462764,7.291288505073692,3.7202985474057804,6.288410780667288,0.023966279533875756,2023-07-02 00:00:00,2023-07-04 00:00:00,2023-07-04 00:00:00,Refunded,3.047606524846509,research,IT,Kansas,26160,8145 David Overpass Apt. 184,Suite 577,BF,Georgia,71729,097 Cuevas Courts Apt. 867,Suite 882,company,soon,73.98329842291199,67.43600543935844,29.754398633912306,4,7.633969857516539,14.663219927676304,Miranda Fuentes,blakeellen@example.org,534-500-4224,2023-04-18 00:00:00,2023-12-31 00:00:00,204.428632946655,2920 Lori Branch,Apt. 629,defense,421.36424421252985,28.329614664245188,Everything painting poor now parent often interesting miss civil may country dog.,technology
"Ortiz, Mclean and Reed",https://reyes-wallace.info/,162629.01279528457,279023.9991042406,2022-06-30 00:00:00,2023-03-22 00:00:00,Ultra,368,98,1176,110364,107.65593847710096,105.92032447278531,11.742828845713936,13.131656671680954,2.6567668144784697,11.147616439339963,9.127082585117343,2023-02-25 00:00:00,2023-02-26 00:00:00,2023-03-02 00:00:00,Paid,3.925750458974553,improve,CL,Arkansas,33127,918 Rebecca Union,Apt. 575,VA,New Jersey,62898,187 English Cliff Apt. 664,Apt. 296,physical,threat,111.17834278053473,109.26586996835658,11.693081401896638,5,6.862121246839086,21.870900910067927,Michael Smith,jennifer52@example.com,+1-605-408-1589,2022-11-15 00:00:00,2023-03-07 00:00:00,1419.3742510842028,24161 Alvarado Island Suite 362,Suite 705,agreement,210.15308124073138,9.12344455969661,Fly strong every easy another us.,man
"Norman, Brown and Crawford",https://decker-robertson.com/,607846.2959020659,383904.07175070874,2023-01-28 00:00:00,2023-10-03 00:00:00,Standard,122,83,996,278904,127.02563559302108,119.57188722419588,27.476378216354938,19.54556887282552,1.3428337472318363,5.626304020237601,3.6933395192535223,2022-12-25 00:00:00,2022-12-30 00:00:00,2022-12-31 00:00:00,Paid,1.9925174527974754,real,UG,California,80170,5813 Barry Gardens,Apt. 583,RS,Delaware,34015,39935 Fischer Road Apt. 660,Suite 582,piece,here,291.91185756861444,284.22780964245,19.14120810036037,3,6.042219882478382,5.708829152871532,Jason Garner,karen16@example.net,+1-621-788-1365x284,2020-07-25 00:00:00,2021-07-14 00:00:00,1862.507687540659,262 Vanessa Estates,Suite 203,thought,144.38802126453518,15.610956733543997,These hand possible eight picture leader magazine organization require miss no who mention.,record
Hernandez PLC,http://pierce.com/,405030.34012556885,529434.3227589006,2021-10-17 00:00:00,2022-05-01 00:00:00,Premium,240,31,372,110595,117.60565041928558,110.11349905210804,6.559042374378096,4.532210869145397,3.2877462906053694,13.299791340500246,15.509460216832212,2020-01-24 00:00:00,2020-01-26 00:00:00,2020-01-26 00:00:00,Pending,1.7376049890610457,front,RW,New Hampshire,12024,3210 Black Fords,Suite 306,CD,Kentucky,61474,876 Taylor Branch,Apt. 116,resource,price,159.04970154316925,152.55852126279876,17.337618112478758,5,5.407622491807876,14.090404427597237,Charles Cummings,zjohnston@example.org,881-921-0027x83174,2022-10-05 00:00:00,2022-10-23 00:00:00,1014.633009436456,246 Miller Freeway,Suite 411,deal,170.04237848350823,28.791163397346413,Certain simple usually catch good know thought son contain shake.,because
Martinez Group,https://guerra.com/,373272.58245017123,692638.4788246051,2022-03-06 00:00:00,2023-03-02 00:00:00,Ultra,368,98,1176,333418,79.31610343355035,70.41162679392525,13.71149837039907,10.299036851460542,4.583904139242504,6.5088635643004045,4.363547313135561,2022-09-21 00:00:00,2022-09-28 00:00:00,2022-09-23 00:00:00,Refunded,14.9868217171217,increase,LI,Florida,68842,075 Crawford Spur,Suite 839,LY,Illinois,88947,443 Karen Shoals,Suite 973,standard,wonder,176.35162507475323,176.20287075342225,23.141366817343567,4,3.7800872413537636,17.256454432828114,Mckenzie Wallace,jessicabrewer@example.org,401-491-3624x662,2021-11-11 00:00:00,2022-06-15 00:00:00,1086.174598434041,4589 Cohen Mill Apt. 846,Apt. 300,point,472.56612666077433,18.450223048526652,Morning inside describe affect inside when everything source use and.,bring
Diaz and Sons,https://roth-holland.info/,467071.45976969134,709447.2968127087,2021-10-24 00:00:00,2022-09-21 00:00:00,Ultra,368,98,1176,280792,71.08255050096761,64.03854059945924,16.2754958983013,3.7707186142382776,1.89095637263661,11.795649951651917,4.327505877761036,2023-04-12 00:00:00,2023-04-16 00:00:00,2023-04-18 00:00:00,Refunded,19.049133638434,reason,MA,Wisconsin,61616,7172 Glenn Views Apt. 026,Suite 143,AL,Alaska,03061,950 Richardson Ranch Apt. 981,Suite 995,teacher,executive,180.7298410579953,174.91488831815292,10.388365162143538,3,7.620582821116308,29.63638833387357,Tanya Cobb,fdavis@example.org,(304)206-3402x164,2021-10-20 00:00:00,2022-05-05 00:00:00,1592.4727316040564,5963 Robin Prairie Suite 475,Apt. 848,keep,80.10607564662308,16.933480971543073,Any current in shake enjoy third tough technology.,health
Cook-Blake,https://golden-briggs.com/,399032.13897314714,254033.97292459392,2022-12-01 00:00:00,2023-08-06 00:00:00,Premium,240,31,372,973996,27.270147957565833,25.081179237509254,20.996290940835276,18.19831886025579,4.60052746222553,10.567237614565318,3.7483449659973367,2023-02-23 00:00:00,2023-02-27 00:00:00,2023-03-02 00:00:00,Paid,4.819704502670836,west,GA,Maryland,79137,14530 Katie Passage Suite 179,Apt. 513,TR,Ohio,30881,31861 Moore Shoals Suite 868,Apt. 495,practice,color,56.194868137705846,53.24006209415792,29.25999813704701,2,6.479670085612385,24.411338560522996,Jennifer Burnett,benjamin91@example.org,983.462.1082x8852,2020-09-21 00:00:00,2020-10-12 00:00:00,1855.4615653315047,80864 Joseph Locks,Apt. 393,central,403.3587127077179,7.514153076582257,Build organization price success low table drive hear serve behind.,perform
Martinez-Lewis,http://www.williams-griffith.com/,71758.27382940444,322418.66478283517,2023-03-20 00:00:00,2023-05-05 00:00:00,Ultra,368,98,1176,22905,153.57906311476154,146.08904231237926,25.379119081094913,11.663370470629639,4.7919052107755835,10.979647613228813,15.514095602563991,2021-03-30 00:00:00,2021-04-01 00:00:00,2021-04-05 00:00:00,Refunded,10.886003514061883,computer,IS,Kansas,14158,39277 Knox Loaf Suite 888,Suite 499,BG,Arkansas,16320,7496 Angelica Loop Apt. 101,Apt. 751,security,manage,24.711006082432306,21.632680076689407,13.533207329009949,3,7.304857740364522,8.409102044335622,Susan Copeland,michael85@example.org,+1-735-770-5941x4308,2021-02-11 00:00:00,2021-04-06 00:00:00,1551.4504767363571,38815 Green Plaza Suite 788,Apt. 502,eight,101.47574405321544,15.126807825093303,Many data address hear sort hot white my.,big
Miller-Bryant,http://www.estrada-reyes.biz/,125802.19180040437,676264.5980952937,2020-11-22 00:00:00,2021-01-10 00:00:00,Ultra,368,98,1176,209347,124.48097158270484,118.08748451270723,1.7198843341328163,18.45725213195635,3.606138837833195,11.18917359698613,14.77826193018978,2020-07-03 00:00:00,2020-07-09 00:00:00,2020-07-11 00:00:00,Pending,13.806683190004605,read,TJ,Arizona,94122,35168 Paul Harbor,Suite 511,GQ,Texas,94540,46973 Park Turnpike Apt. 870,Apt. 776,agency,method,228.12240303600615,222.6879741394868,8.827727499397744,2,1.9039164572800893,17.248453056910183,Bernard Washington,gregory23@example.net,(263)939-8532x511,2022-11-05 00:00:00,2023-02-23 00:00:00,1994.0449223482121,7195 Andrew Spur Apt. 314,Apt. 080,know,297.3957272821246,15.632172108930375,Member blue line west hit visit measure small.,which
"Shelton, Nguyen and Miller",https://www.patterson-barnett.com/,483842.0635943545,180562.32678149815,2021-04-24 00:00:00,2021-06-14 00:00:00,Standard,122,83,996,312252,188.95023951465546,179.95326349758662,18.54934028626478,18.79518157872855,2.3935969604863083,11.300116822448143,19.150091207353107,2021-07-09 00:00:00,2021-07-14 00:00:00,2021-07-15 00:00:00,Refunded,10.173564468008784,consider,NR,Alaska,01724,24153 Fisher Village Apt. 382,Apt. 837,TM,Ohio,83536,125 Spencer Parkways,Suite 991,Republican,property,161.3864525061969,160.44374424824278,14.231008614554124,1,9.238909943092905,18.10007875395565,Carl Ortiz,zcooper@example.org,+1-411-544-7021x45355,2022-11-29 00:00:00,2023-09-30 00:00:00,1902.5092343488795,574 Wright Park Apt. 645,Apt. 025,than,416.60280937290054,27.279181625364654,Will job travel actually field sometimes.,bag
Cantu-Parks,http://hunt-fernandez.info/,443030.5326619376,222360.39476397933,2023-04-29 00:00:00,2023-11-11 00:00:00,Premium,240,31,372,859105,125.91208368618669,122.07277083027874,17.00768551110184,0.09469774382692808,3.2881663610328475,14.112847300005665,3.8515519807645116,2021-10-12 00:00:00,2021-10-17 00:00:00,2021-10-17 00:00:00,Paid,1.2434103393768825,black,VU,North Carolina,90794,795 Delgado Circles Apt. 192,Apt. 819,CN,Colorado,26583,0456 Estrada Squares,Suite 562,relate,despite,289.71116564695126,281.85324183031986,19.713763157760216,5,1.8717814188683735,24.75530110875354,Christopher Hernandez,samuel01@example.org,645-625-6324x72784,2023-01-23 00:00:00,2023-08-12 00:00:00,541.1922182964524,57892 Courtney Ford Apt. 868,Suite 791,build,47.77371780775445,12.75420536840759,Far especially international they so business first mouth rather operation.,guess
"Fowler, Lopez and Vega",https://watson.com/,856300.2864773727,665696.5315901631,2021-08-28 00:00:00,2022-04-08 00:00:00,Premium,240,31,372,443056,31.941076613037666,25.094634531817704,23.158068221524523,8.293990888908478,0.11213546914780881,14.551433125534318,8.025925769127948,2023-05-01 00:00:00,2023-05-07 00:00:00,2023-05-12 00:00:00,Paid,14.071980367358792,magazine,IR,Alaska,31633,00080 Justin Stream Apt. 279,Suite 875,BY,Vermont,41662,89305 Hall Track,Apt. 423,site,government,81.6750411073925,81.36590506728261,26.736383368912563,1,7.426638746780401,18.191878797697328,David Green,graychase@example.org,001-666-430-7591x949,2021-04-01 00:00:00,2021-06-30 00:00:00,1420.7712441434396,6591 Washington Place,Apt. 166,far,456.75136023853815,19.63541082491898,None American after hotel move argue.,star
Smith-Barber,https://www.williamson-figueroa.com/,883077.009988974,730469.847011022,2021-11-21 00:00:00,2022-01-17 00:00:00,Standard,122,83,996,792728,74.22736921638969,73.00674227845029,17.973125371815474,0.30554892398862554,1.5190345453640441,7.717571275607379,5.10146826714873,2023-05-01 00:00:00,2023-05-04 00:00:00,2023-05-11 00:00:00,Refunded,7.6269729170924965,offer,BS,Indiana,59152,649 Scott Mountain,Apt. 643,ZA,Michigan,06200,82447 Vargas Plain,Suite 722,water,loss,22.276557742252365,19.969644583087145,25.94374311148109,2,3.339994861723553,24.850394382788135,Bradley Williams,ogrant@example.com,5523363609,2020-07-08 00:00:00,2021-05-07 00:00:00,755.2115992013287,923 Isaiah Gateway,Suite 013,value,13.88538511311378,25.81693464979959,Brother capital here it dream great brother way sit.,sit
Carroll-Fernandez,https://www.malone.com/,616558.9834141841,730228.7390070951,2023-07-31 00:00:00,2024-06-07 00:00:00,Ultra,368,98,1176,217373,79.58701791642262,72.62649371235808,27.089172848711854,7.654060698350027,3.390153451348455,8.64934585235028,12.284124425104615,2021-08-18 00:00:00,2021-08-20 00:00:00,2021-08-26 00:00:00,Pending,18.286342031210154,bar,MM,Kansas,91726,14809 Hawkins Views Apt. 556,Suite 980,SO,New Jersey,31006,1165 Lowe Lakes Suite 348,Suite 311,year,challenge,253.61832888538845,249.46033140063525,7.835907131616123,2,5.289476724311491,29.656605729998567,James Evans,patrickrivera@example.net,+1-965-593-7052x72940,2022-09-28 00:00:00,2023-03-20 00:00:00,554.5080037230658,735 Vasquez Keys,Apt. 192,raise,478.083884532327,18.78836962253572,Seek hour break almost during audience goal leave admit morning than since.,wind
Cole-English,http://cantrell.net/,285965.07825740543,750420.5434156795,2021-10-05 00:00:00,2022-02-16 00:00:00,Standard,122,83,996,796510,130.74526382182543,121.4514220417785,3.760747995282372,4.859744181548664,0.807074510173954,6.653911270815435,8.606303251150123,2021-04-21 00:00:00,2021-04-27 00:00:00,2021-04-23 00:00:00,Paid,7.723558015685703,among,UA,New York,40977,69529 Audrey Dam,Suite 923,CF,Georgia,13110,681 Martin Hollow,Apt. 104,up,power,213.32134063806052,210.14959225839428,15.213444977495428,2,5.265698361741298,28.878911622198345,Cathy Soto,kennethkeith@example.net,533.778.0117,2022-07-19 00:00:00,2023-03-13 00:00:00,457.39099428840586,86522 James Knoll Suite 064,Apt. 777,avoid,201.5227765894355,21.059543108272777,Piece language machine quite situation tough laugh perhaps development wear truth teach.,consumer
Daniel-Rodriguez,http://www.douglas-choi.biz/,94881.78627555516,613312.4578238914,2020-04-30 00:00:00,2020-06-05 00:00:00,Premium,240,31,372,230125,174.64799162562622,166.20728642913312,15.074246204368508,17.38528073703803,4.45760083651754,12.385365316278794,11.469316463466324,2021-09-10 00:00:00,2021-09-12 00:00:00,2021-09-23 00:00:00,Pending,0.6963307182614686,control,BE,Arkansas,07222,041 Sellers Ridge Apt. 652,Suite 244,AO,South Carolina,61466,77950 Hendrix Ramp Apt. 538,Suite 752,certain,both,265.7138143471308,258.03452688353485,2.180278357023381,3,1.4031876032858892,19.82448974146617,Christopher Alvarez,nhardin@example.com,639-658-6471x9709,2022-03-26 00:00:00,2022-04-11 00:00:00,866.0661981934278,93280 Mitchell Ford,Apt. 686,first,226.75874403047956,13.76256812119508,Couple painting history manage garden follow mission half.,candidate
"Baker, Suarez and Hamilton",https://www.miller.info/,498782.29166231235,515526.4266273595,2022-03-17 00:00:00,2023-03-17 00:00:00,Ultra,368,98,1176,718001,115.90770323096827,108.17138460255055,8.062452434286856,8.26521729280703,0.8544177286616772,7.989149888439483,13.658543613985405,2022-09-07 00:00:00,2022-09-09 00:00:00,2022-09-21 00:00:00,Pending,11.580052552734907,project,MT,Minnesota,88417,8391 Dawn Parkways,Apt. 280,UY,South Dakota,28709,9700 Cherry Views Apt. 720,Apt. 801,against,keep,210.5974872676462,203.6669156158231,7.996488788045624,4,8.402432795233288,28.701054986586467,Heather Torres,eric00@example.org,001-597-557-1160x6053,2021-03-12 00:00:00,2021-12-01 00:00:00,635.7833432630757,58325 Lewis Mall,Suite 535,bank,381.9044080245568,20.393801535824437,Each I unit want thing color drive report suggest.,ready
"Brown, Salas and Webb",https://may-dodson.org/,179194.0986146692,659494.6005993445,2020-12-16 00:00:00,2021-11-26 00:00:00,Ultra,368,98,1176,456109,150.3432678925848,150.21873977526693,20.26042927251054,3.6761990566376612,1.0748488197834645,14.188509492176747,11.400922291899818,2020-08-28 00:00:00,2020-08-29 00:00:00,2020-08-29 00:00:00,Refunded,13.512316815300107,local,MK,New York,54064,510 Michael Alley,Suite 708,TR,Kansas,97037,792 Crystal Freeway Apt. 091,Apt. 033,amount,lawyer,288.10036907992185,280.54464100605185,2.8581577582200324,3,9.413617311322222,13.614976116446144,Cynthia Alvarado,david59@example.net,(244)593-1798x9929,2023-05-24 00:00:00,2023-07-09 00:00:00,1611.6844312022886,4033 Reed Drive Apt. 508,Apt. 634,career,55.59251002704001,18.657001454104908,Any third find purpose he plant great heavy.,bed
"Hardy, Stephens and Rodriguez",https://brown-wallace.com/,390053.7569635155,480112.34059552255,2023-04-14 00:00:00,2023-07-06 00:00:00,Premium,240,31,372,685483,32.43997690109725,23.415695514870524,21.33659190227205,17.32366852228563,1.594808594547175,12.393225314841878,1.4447433495566586,2021-10-27 00:00:00,2021-11-02 00:00:00,2021-11-01 00:00:00,Refunded,15.42045545693263,rock,GY,Oregon,02027,6118 Gomez Trail Suite 669,Suite 082,PE,Idaho,66988,7965 Miller Trafficway Suite 701,Suite 758,imagine,across,179.89572552225158,179.47280624623127,23.233449430667466,4,7.2148468344235,6.835034009081121,Brandon Sanchez,tcruz@example.com,370.813.8499x46082,2020-11-02 00:00:00,2020-11-06 00:00:00,206.4805065202264,31516 Morse Shoals,Suite 903,tend,115.74981127762157,10.37366936638796,Development church loss person certain particular.,claim
Munoz-Keller,http://www.rodriguez.com/,140016.69919366683,567663.479606937,2020-04-22 00:00:00,2021-04-03 00:00:00,Ultra,368,98,1176,483833,159.95033031891256,156.4278517273504,29.344649257003436,10.274849476659377,3.2673784067621265,12.162660567709487,6.436842706246198,2023-04-11 00:00:00,2023-04-15 00:00:00,2023-04-15 00:00:00,Refunded,16.02449265265982,fact,BY,Nebraska,85223,31231 Lewis Circle,Apt. 928,IQ,South Carolina,92538,9250 Stephen Spring,Apt. 174,husband,suffer,192.02043153765973,182.33334824892404,10.616472264090564,3,4.461030049856244,13.659766352093405,Gloria Moore,wlyons@example.org,(623)951-1787x0331,2022-11-24 00:00:00,2023-06-07 00:00:00,962.5807181087614,4783 Watts Estate Suite 210,Suite 502,where,339.216229693963,12.452047401680892,Wife present three treat movie amount thousand.,could
