Business_Name,Business_URL,Business_Avg_Monthly_Sales,Business_Avg_Net_Revenue,Business_Sub_Start_Date,Business_Sub_End_Date,Subscription_Name,Subscription_Order_Max,Subscription_Monthly_Price,Subscription_Yearly_Price,Order_Total,Order_Subtotal,Order_Tax,Order_Shipping_Amount_Paid,Order_Shipping_Cost,Order_Product_Cost,Order_Total_Refund,Order_Creation_Date,Order_Fulfilled_Date,Order_Cancellation_Date,Order_Financial_Status,Order_Discount_Amount,Order_Discount_Code,Order_Country,Order_State,Order_Zip,Order_Address1,Order_Address2,Order_Billing_Country,Order_Billing_State,Order_Billing_Zip,Order_Billing_Address1,Order_Billing_Address2,Lineitem_Title,Lineitem_Sku,Lineitem_Gross_Revenue,Lineitem_Net_Revenue,Lineitem_Discount_Amount,Lineitem_Quantity,Linetem_Tax,Lineitem_Cost,Customer_Name,Customer_Email,Customer_Phone,Customer_First_Order_Date,Customer_Last_Order_Date,Customer_AVG_LTV,Customer_Address1,Customer_Address2,Product_Title,Product_Amount,Product_Cost,Product_Description,Product_Sku
"Rivera, Cook and Shannon",http://www.thomas-taylor.net/,584920.6745837684,625262.3811863961,2023-01-09 00:00:00,2023-05-26 00:00:00,Premium,147,28,336,62.95396303241154,58.255499168424464,23.489333392114556,18.65120180188131,0.6627684146512547,6.7206826004136,12.735234166656497,2020-03-01 00:00:00,2020-03-04 00:00:00,2020-03-03 00:00:00,Paid,17.513740303884543,several,CV,Nebraska,49503,5386 Faulkner Groves Apt. 201,Suite 932,DZ,Ohio,14798,025 Daniel Knoll Apt. 608,Apt. 938,be,marriage,164.23010537680892,160.93378921155158,21.845173045528906,3,4.755988653306831,13.842818544107292,Jessica Harvey,jessicafloyd@example.com,(900)367-8607x47178,2022-03-07 00:00:00,2023-01-15 00:00:00,274.8615731695443,8429 Walker Land,Suite 921,writer,395.4149895814863,7.38774888823903,Executive economic individual front kid newspaper decide turn state risk board task.,social
Hardy Group,http://moore-buchanan.com/,257066.78201326414,611972.9283132685,2020-07-14 00:00:00,2021-06-12 00:00:00,Standard,355,34,408,87.71906900919886,85.2858689369334,8.4670226583668,13.419189415856952,4.25122920433935,11.72997265275526,15.021305789158125,2022-08-17 00:00:00,2022-08-21 00:00:00,2022-08-24 00:00:00,Paid,6.012902669905841,herself,MU,Minnesota,50051,857 Reynolds Inlet Suite 660,Suite 372,IE,North Carolina,39440,1351 Duane Corner Apt. 858,Apt. 402,air,lay,208.57895895487727,204.0786422072566,4.0887884070530855,1,4.0662396397699805,29.18443120091613,Emily Thompson,joneslaura@example.com,+1-748-549-3950x776,2021-01-05 00:00:00,2021-09-23 00:00:00,1248.516125288155,822 Alex Stream Apt. 894,Suite 565,southern,413.0953573956031,17.705158334247763,Catch police benefit debate before summer weight leave reality protect family learn.,marriage
"Taylor, Martin and Hart",https://church.com/,117468.06273238518,203573.03509277917,2020-12-07 00:00:00,2021-03-06 00:00:00,Ultra,257,50,600,196.74586279002753,196.52008984843073,16.53448668341235,9.36997856505167,0.06614636548390784,9.092531783576941,10.03931704924887,2022-05-23 00:00:00,2022-05-27 00:00:00,2022-06-03 00:00:00,Refunded,11.0410313752501,candidate,BA,Oregon,44649,52350 Hodge River,Suite 471,PT,Georgia,95760,278 Michael Port Apt. 879,Apt. 950,trial,difficult,159.1235631759546,155.27917615048358,0.025257323707705837,1,2.2641453449288997,26.69353785887253,Mary Jordan,ywhitaker@example.com,001-485-556-9666x486,2020-05-08 00:00:00,2021-04-10 00:00:00,143.0042434090759,2546 Peter Spur Apt. 403,Apt. 312,book,439.3478603676666,15.470319206086263,Population issue while say debate under.,open
Rodriguez PLC,https://smith.org/,262261.86196506757,237632.0816006074,2021-09-14 00:00:00,2022-06-21 00:00:00,Premium,147,28,336,99.74497614253414,97.95953785891135,16.340458009005165,0.13461420838084548,1.6945581927076492,10.441485804826955,14.722108468204247,2020-01-20 00:00:00,2020-01-26 00:00:00,2020-01-22 00:00:00,Paid,17.903558697329775,day,CM,Illinois,04074,168 Michael Creek,Apt. 148,ZM,Colorado,54118,01657 Pierce Path,Apt. 891,exist,program,209.89640854472282,206.51402659992175,28.940897302216648,2,7.9611610706079174,5.440073098817812,Rachel Smith,jasonmorris@example.com,(272)816-5825x0545,2020-02-21 00:00:00,2020-10-16 00:00:00,977.1815674271093,0447 Michelle Knoll,Apt. 101,gas,399.2393197219604,8.671600554545737,Town candidate suffer sound ask see nature price agency her card response.,wife
Cline-Freeman,https://hawkins-thompson.biz/,813552.2336677946,798602.2083263693,2021-11-18 00:00:00,2022-08-05 00:00:00,Ultra,257,50,600,180.1761486927624,176.79195186176196,5.771380565410816,10.280767410552754,4.423440139495737,11.965405324801457,16.278187422291822,2022-03-10 00:00:00,2022-03-12 00:00:00,2022-03-12 00:00:00,Refunded,6.664191044082406,food,VU,Vermont,31161,57204 Chelsey Loaf,Apt. 954,DM,Connecticut,17324,817 Beard Mount,Apt. 283,brother,star,214.48049894367745,214.2264014270072,0.41520879286494505,3,6.138418253047117,23.31665243018748,Richard Harmon,martinezsusan@example.org,5833898259,2020-08-13 00:00:00,2020-10-09 00:00:00,1873.295755102715,95743 Parsons Estate Apt. 165,Apt. 315,charge,322.2548336580177,22.428336004011204,Catch task interesting arrive as language.,nothing
Elliott and Sons,http://www.rodgers.com/,373285.80403167714,77780.15452806046,2021-10-18 00:00:00,2022-01-06 00:00:00,Ultra,257,50,600,53.667848347708095,51.45487253679064,3.3952777317005833,14.415616628400677,1.7613686425269854,8.204052082979274,9.591618123843435,2021-07-04 00:00:00,2021-07-08 00:00:00,2021-07-17 00:00:00,Paid,12.784497350874231,deal,VA,New Mexico,41010,91558 Sean Squares,Suite 887,MG,Connecticut,23005,8416 Lucas Trail Apt. 527,Suite 609,from,them,122.45230177221991,121.09075875743655,7.6236657008577176,5,2.7792632226983924,27.891502675165693,Maxwell Flores,keithpeters@example.net,(814)434-1097,2021-01-24 00:00:00,2021-06-13 00:00:00,895.4581237119196,76964 Philip Fields,Apt. 866,child,200.98387406288174,23.611996977925568,Increase chair plan listen business scientist with of section court save decide prevent.,trouble
"Blanchard, Gregory and Hess",https://www.reyes-lawson.com/,479942.15072142205,787776.429819377,2021-10-15 00:00:00,2021-12-12 00:00:00,Ultra,257,50,600,143.76814037669956,137.91719215878464,19.279786378978745,5.965329514260931,2.1637800739785824,14.34956055574673,17.27914888161616,2023-01-13 00:00:00,2023-01-18 00:00:00,2023-01-18 00:00:00,Refunded,13.229268232309401,several,TJ,Kansas,09986,61652 Meagan Motorway,Suite 424,BO,Illinois,21518,9968 Pace Summit Suite 812,Suite 537,poor,nearly,298.73872528520286,294.7789094730954,5.333406331967282,4,4.974781704516122,16.158156744221372,Steven Mccann,hector78@example.com,394.633.2315x9188,2023-05-23 00:00:00,2023-11-09 00:00:00,803.5583697852094,7947 Stephanie Ford Suite 019,Apt. 766,compare,334.10983560223184,14.544422630504407,Happy interesting practice then individual after official share center.,number
"Moore, Andrews and Moyer",http://www.jones.com/,768797.4901203983,69206.4739893247,2020-02-02 00:00:00,2020-09-06 00:00:00,Standard,355,34,408,23.668609505622676,19.246056404390593,29.977669452744077,14.30988333824694,4.879057980675807,9.725435213443507,8.703012654482391,2020-04-12 00:00:00,2020-04-13 00:00:00,2020-04-15 00:00:00,Refunded,18.530945762997177,machine,SO,Idaho,01653,05864 Rodriguez Green Apt. 488,Suite 310,CU,Florida,71671,206 Edgar Center,Suite 005,party,raise,18.300133592670058,9.615849496177962,19.546317432989042,4,0.8227119551605078,23.949689961299963,Carl Jackson,millerjennifer@example.com,618.606.8025x7233,2023-05-15 00:00:00,2023-10-19 00:00:00,818.3850163998205,630 James Motorway,Suite 583,international,179.71904929162872,10.870139381312693,Finish later open decision despite cup half have author then.,heavy
Webster-Smith,http://acosta-combs.info/,909342.5455658099,427299.7577089101,2020-09-14 00:00:00,2020-11-16 00:00:00,Premium,147,28,336,99.1813073677072,93.03621818754776,7.82610066820899,17.04895448244716,3.63436956021512,9.987594667737092,2.816859705497985,2022-08-26 00:00:00,2022-08-29 00:00:00,2022-08-29 00:00:00,Pending,15.661866674042457,minute,RU,Oregon,31390,193 Mason Pike Apt. 042,Apt. 232,CV,Ohio,64059,198 Taylor Spring Suite 360,Suite 655,Democrat,admit,201.43970774278372,193.90864515078204,29.917532852930083,2,1.7868032786622956,7.4101608548047855,Mrs. Lauren Baker,lauralewis@example.com,645-690-6537,2022-04-25 00:00:00,2023-04-17 00:00:00,884.5595234619054,136 Blair Drive Apt. 670,Apt. 065,situation,109.90365644540282,26.699379273082346,Color professional defense Democrat view animal none throw must camera.,Mr
Ramos-Rodriguez,https://www.schroeder-kim.com/,323319.90889463015,246646.76901087587,2020-12-29 00:00:00,2021-09-02 00:00:00,Standard,355,34,408,168.08212373924613,161.13791560115848,13.747914412892836,15.487986666587014,3.340252457999492,13.902267930048904,7.537541750256789,2023-04-17 00:00:00,2023-04-18 00:00:00,2023-04-29 00:00:00,Refunded,19.891603938767044,truth,LR,Michigan,07189,949 Davis Plains Suite 889,Suite 590,LK,California,08049,546 Robin Mission Suite 683,Apt. 336,test,often,209.18248617154134,202.4089026391834,14.211662688318714,2,0.5418390971979836,16.69650421305814,Ronald Guerra,onielsen@example.com,+1-393-372-4191x84663,2023-05-07 00:00:00,2023-11-03 00:00:00,236.95440518515284,78897 Dustin Land,Apt. 312,law,102.30192002398277,6.607528085625223,Happen five guy loss involve decision or.,development
"Payne, Mccarthy and Jones",https://www.martinez-lewis.com/,828192.216553412,615699.0821479058,2022-02-23 00:00:00,2022-10-11 00:00:00,Ultra,257,50,600,115.5514563636848,105.92111955840662,21.22037526057688,9.618013998106631,3.0553439988185294,12.82073625356956,4.9068865151097585,2021-12-18 00:00:00,2021-12-22 00:00:00,2021-12-21 00:00:00,Paid,5.3584377583366045,part,SE,Indiana,51945,279 Steve Walk Suite 700,Apt. 468,TN,Minnesota,57294,792 Heidi Station,Suite 563,if,marriage,278.9920640258101,275.9733785326387,14.054257689898547,4,6.207960984962309,17.298900856305007,Joseph Johnson,rebecca68@example.net,279-640-3850x7743,2022-12-06 00:00:00,2023-07-06 00:00:00,1532.638557411832,58748 Moses Harbor Apt. 602,Suite 882,always,484.91716378537984,19.601589725844462,Seven wait big news executive owner produce east painting.,within
Lee-Murphy,https://www.massey-smith.info/,742051.2554559086,96796.87107195257,2022-07-29 00:00:00,2023-03-25 00:00:00,Standard,355,34,408,54.753667442264515,50.371036651300535,27.797693448223637,15.122565183887819,2.4704416615660003,6.495142197988523,7.464422344945458,2021-01-19 00:00:00,2021-01-26 00:00:00,2021-02-01 00:00:00,Refunded,6.124947433001107,continue,GT,Kansas,96256,59023 Kristine Villages,Suite 551,AT,Pennsylvania,78506,807 Edward Ways Apt. 164,Suite 431,past,company,107.88969655113827,104.15335538076873,0.30980779663652425,4,0.9598565879279097,9.505893239474279,Kelly Madden,griffinjennifer@example.com,+1-424-901-3201x20313,2021-09-11 00:00:00,2022-05-16 00:00:00,1907.2660470138228,37138 Baldwin Mount Apt. 841,Suite 832,blood,476.6406859581731,13.503319881283614,In lawyer before politics environmental seem deep data head.,something
Gonzalez Ltd,https://anderson.com/,905170.5293393886,286089.75245386525,2023-07-24 00:00:00,2023-11-26 00:00:00,Ultra,257,50,600,41.154671479098816,34.43995960752785,22.378642212655887,10.613543481461713,3.1309569089311347,6.28964793874574,12.492004348401311,2021-09-25 00:00:00,2021-09-29 00:00:00,2021-09-28 00:00:00,Refunded,11.526837155646852,computer,PK,Florida,96927,807 Kenneth Fork Apt. 301,Suite 739,FI,Texas,44316,18191 Maria Oval Apt. 227,Apt. 276,answer,democratic,72.64668189870484,65.6737194662849,28.466442859202637,2,8.385655611403607,22.045565148129178,Jason Ball,john51@example.org,954.303.2653,2020-04-27 00:00:00,2020-07-18 00:00:00,1351.9574275518949,2734 Rosario Ford Suite 257,Suite 416,receive,194.57512462488208,24.12416581679256,South say option site fine building.,focus
Lane-Sanchez,http://bass.com/,219812.1399101933,187572.77135161287,2020-04-27 00:00:00,2021-01-17 00:00:00,Ultra,257,50,600,36.9726621132949,29.660343187220928,4.878631445339882,11.95791375883723,2.363549379768146,6.965766186338299,6.799680185718864,2022-04-24 00:00:00,2022-04-29 00:00:00,2022-04-25 00:00:00,Paid,5.2920843415180086,cup,SO,Wisconsin,32636,704 Jose Views Suite 362,Suite 601,ZM,Michigan,02767,66647 Thomas Alley,Suite 814,admit,light,232.56947332170208,227.86145994308848,19.939007615932645,5,0.1720205128962271,27.631168562109597,Stephanie Anderson,cgray@example.com,001-777-575-5021x33789,2021-08-17 00:00:00,2022-06-02 00:00:00,1001.0902258819578,380 Zimmerman Loop,Apt. 521,physical,25.311887493175753,20.500679129514268,Door car response seem successful few financial almost late least provide unit.,seek
Santiago LLC,http://www.blake.info/,249990.9489134134,180664.88237937016,2020-12-26 00:00:00,2021-06-20 00:00:00,Ultra,257,50,600,55.55560468823993,53.61893078987415,3.3282140611660194,4.811941707040086,1.344667002209043,11.451373174528591,6.544637100742971,2021-06-22 00:00:00,2021-06-26 00:00:00,2021-07-06 00:00:00,Refunded,17.93882559809488,show,AE,Rhode Island,29792,182 David Mount,Suite 925,GN,Mississippi,58719,7501 Leslie Mills Apt. 627,Suite 593,run,second,209.72023660526875,201.47790966573137,27.838259376944066,3,5.4114049964377955,25.63639803178021,Lisa Myers,connie91@example.com,5117140930,2023-05-16 00:00:00,2023-07-16 00:00:00,1554.0651220310667,7203 Jeffrey Mill,Apt. 520,stand,381.0045311330021,18.61538273439899,Town television everything plant well strong Republican understand thousand traditional international our.,too
"Perez, White and Abbott",http://hernandez.com/,193953.1380306751,86705.47969005264,2020-01-09 00:00:00,2020-07-13 00:00:00,Standard,355,34,408,185.8548431087353,184.30350643184966,24.361798052639518,3.730260217566901,0.5942117694631338,12.84338900641589,1.2107355208364523,2020-08-12 00:00:00,2020-08-14 00:00:00,2020-08-17 00:00:00,Refunded,10.785564823762186,experience,NO,Delaware,67962,7169 Donald Valleys,Suite 773,LR,Connecticut,83881,2554 Robert Springs Suite 310,Suite 455,rock,lay,248.00122073451473,245.6087792559454,1.8953742062893064,1,3.668886435985017,16.032967723825365,Stacey Trevino,jwilliams@example.net,(760)858-4226,2022-12-28 00:00:00,2023-11-04 00:00:00,1397.694057489524,943 Smith Stream Apt. 825,Apt. 575,example,330.2535188610042,29.088850750074126,Pressure training happy likely again your these.,east
"Williamson, Wilson and Brewer",https://pruitt.com/,946683.3788401836,482083.876853675,2022-10-17 00:00:00,2023-01-25 00:00:00,Premium,147,28,336,161.3743757158782,154.8779051591246,7.761371524976461,7.700517525633934,3.6536707240762296,5.6592388717042255,0.4782094342782717,2021-06-08 00:00:00,2021-06-14 00:00:00,2021-06-16 00:00:00,Paid,10.852758880873255,often,LA,Rhode Island,51899,620 Susan Cove Suite 218,Apt. 017,AF,Michigan,48876,675 Lee Keys,Suite 447,possible,worry,143.45229495581728,140.7520477318045,19.70814836910192,4,5.7260299543587845,20.646042781922134,Sara Torres,elizabethshepherd@example.com,829.869.9370x508,2020-04-08 00:00:00,2021-04-02 00:00:00,228.52544084503407,56347 Lloyd Knolls,Apt. 984,treat,149.54069340406053,15.413674034843517,Whether address whom whole coach form arrive the.,clearly
Jones and Sons,https://www.dillon-cline.com/,633378.5115710498,697133.560435194,2020-08-20 00:00:00,2021-08-04 00:00:00,Ultra,257,50,600,170.77925151075445,167.14443856072947,21.459227361421117,14.613220406514877,2.871888775539571,5.4208745573664805,15.693514593155879,2022-04-21 00:00:00,2022-04-23 00:00:00,2022-04-27 00:00:00,Paid,11.259659992913313,first,TH,Virginia,44661,310 Joseph Plaza,Apt. 927,GH,North Carolina,47573,682 Janet Flat,Suite 611,similar,phone,71.46636325491804,70.93522999313055,13.687829871579133,3,2.163104161957552,13.779117645205995,Robyn Jones,bellpaul@example.net,(223)997-4966x0372,2021-10-14 00:00:00,2022-08-17 00:00:00,555.6404791364024,93856 Pena Shores,Suite 586,seat,457.50489821791024,22.309001348324298,Adult performance degree city size whatever type factor.,Mr
Smith-Coleman,https://case.com/,413962.18994590477,753929.7972996669,2022-02-04 00:00:00,2022-11-01 00:00:00,Standard,355,34,408,67.47958112169185,57.79826855648518,27.28885411808521,2.545084405790232,4.0524359575663595,6.465346258273331,1.250761060858241,2021-10-16 00:00:00,2021-10-21 00:00:00,2021-10-28 00:00:00,Paid,0.171265697822387,conference,FI,Georgia,85048,3077 Anthony Turnpike,Apt. 671,SN,New Jersey,51514,4370 Lopez Lodge Apt. 306,Suite 447,sport,stand,25.370610424373325,16.091090293295856,28.631753685477992,4,3.8173460383535285,19.8323962039979,Craig Barnes,iyork@example.net,735-623-4328x9703,2023-05-12 00:00:00,2023-05-18 00:00:00,1607.827807768078,370 Mark Parkways Apt. 806,Suite 386,actually,210.4534777571137,10.301945362960694,Shake we heart threat condition respond paper many bring north yes.,change
Wilson-Wilson,http://www.porter.com/,485635.04355247534,678816.5335815393,2023-07-21 00:00:00,2024-07-11 00:00:00,Standard,355,34,408,111.22743753644342,108.26683048353259,23.448158026979165,14.828691497824877,3.780337288297658,7.266552662028468,0.18085057106434155,2022-08-07 00:00:00,2022-08-13 00:00:00,2022-08-15 00:00:00,Refunded,9.35376531638405,attack,ST,Alabama,70005,1776 Sarah Prairie,Apt. 445,IS,Wyoming,78562,38286 Christian Ridge Apt. 495,Suite 970,there,word,249.91308540465326,245.57758833637965,29.097715339289874,4,7.789911444296916,14.448602414780204,Laura Robinson,taramann@example.net,276-879-7107x168,2021-07-29 00:00:00,2022-06-17 00:00:00,766.1180803667064,1969 Frances Keys,Suite 776,news,410.79467857572894,17.442804506379243,Beyond wear represent assume happen physical know.,environmental
Murphy Ltd,http://www.may-king.com/,392889.9281483781,639573.8517525073,2020-03-18 00:00:00,2020-11-11 00:00:00,Premium,147,28,336,193.07366433828102,184.5305557099788,4.901730783532191,10.087718021233332,0.38409076795988484,14.654081972157035,11.086133344892946,2020-05-06 00:00:00,2020-05-08 00:00:00,2020-05-15 00:00:00,Pending,11.846381828924713,evidence,KG,Tennessee,31321,797 Sanford Heights,Apt. 519,LK,Virginia,54269,05046 Jones Estate Suite 245,Apt. 899,heart,culture,153.9730490799944,145.45030271901211,2.5902321622983404,4,2.6304222553608794,22.137016672304092,Holly Cruz,darin38@example.net,537.708.1489x798,2021-10-24 00:00:00,2022-07-06 00:00:00,1531.8562937882198,8808 Stephanie Points,Apt. 659,sea,97.36091324881413,18.2760363723853,Fill often vote eat either far serve fund front market strategy.,just
