customer_id,name,email,phone,created_at,updated_at
38,Paul Rice,pattersonstephanie@example.com,001-907-890-0777,2022-03-10 00:00:00,2023-08-09 18:01:10.888725
39,Robert Brewer,lloydtravis@example.org,001-581-265-7000x87011,2022-07-18 00:00:00,2023-08-09 18:01:10.888725
40,Samantha Nguyen,rollinsjaclyn@example.com,944-317-8174x086,2022-12-16 00:00:00,2023-08-09 18:01:10.888725
41,Scott Simpson,caroline65@example.org,216.306.8060x938,2022-09-14 00:00:00,2023-08-09 18:01:10.888725
42,Stephen Jenkins,walkerpatrick@example.org,+1-308-326-1131,2021-12-07 00:00:00,2023-08-09 18:01:10.888725
43,Susan Copeland,michael85@example.org,+1-735-770-5941x4308,2021-03-30 00:00:00,2023-08-09 18:01:10.888725
44,Tanya Cobb,fdavis@example.org,(304)206-3402x164,2023-04-12 00:00:00,2023-08-09 18:01:10.888725
45,Teresa Mueller DVM,tmurray@example.net,854-280-1004x9231,2022-06-24 00:00:00,2023-08-09 18:01:10.888725
46,Thomas Vega PhD,tyler01@example.org,787.275.0556x339,2021-06-07 00:00:00,2023-08-09 18:01:10.888725
47,Tonya House,robert01@example.com,+1-773-785-3831x22255,2020-01-04 00:00:00,2023-08-09 18:01:10.888725
48,Tonya Mueller,annette31@example.org,001-439-220-4646x668,2021-10-05 00:00:00,2023-08-09 18:01:10.888725
49,Tyler Brown,georgelutz@example.org,+1-980-933-5943x3120,2020-06-07 00:00:00,2023-08-09 18:01:10.888725
50,Victor Long,hickstiffany@example.com,451-614-3384x34059,2022-10-12 00:00:00,2023-08-09 18:01:10.888725
